Report Date/Time: 01/12/2017 04:46 PM,,,,,STATE OF ARIZONA REGISTRATION REPORT,,,,,Page Number 1,
,,,,,"2017 January Voter Registration - January 1, 2017",,,,,,
,,,,,Compiled and Issued by the Arizona Secretary of State,,,,,,
,,,,,ACTIVE,,,,,,
,County,Precincts,Date/Period,Democratic,,Green,Libertarian,Republican,Other,TOTAL,
,,Legislative District 29,,,,,,,,,
,,,Maricopa,33,"3,606",,20,154,"1,760","5,466","11,006"
,,,TOTALS,33,"3,606",,20,154,"1,760","5,466","11,006"
Report Date/Time: 01/12/2017 04:46 PM,,,,,,STATE OF ARIZONA REGISTRATION REPORT,,,,,Page Number 10
,,,,,,"2017 January Voter Registration - January 1, 2017",,,,,
,,,,,,Compiled and Issued by the Arizona Secretary of State,,,,,
,,,,,,INACTIVE,,,,,
,Legislative,,,Precincts,Democratic,,Green,Libertarian,Republican,Other,TOTAL
,,Legislative District 30,,,,,,,,,
,,,Maricopa,29,"4,066",,26,140,"1,842","6,132","12,206"
,,,TOTALS,29,"4,066",,26,140,"1,842","6,132","12,206"
,,,STATE TOTALS,"1,470","124,464",,"1,258","4,810","118,341","217,795","466,668"
