STATE OF ARIZONA REGISTRATION REPORT,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Page: 1
"2020 January Voter Registration - January 02, 2020",,,,,,,,,,,,,,,,,,
Compiled and Issued by the Arizona Secretary of State,,,,,,,,,,,,,,,,,,
Active,,,,,,,,,,,,,,,,,,
County,Precincts,,Date/Period,,,Democratic,,,Green,Libertarian,Republican,,Other,,Total,,,
,,,,,,,,,,,,,,,,,,
Legislative District 28,,,,,,,,,,,,,,,,,,
Maricopa,,,,57,"3,664",,,184,,"3,710",,"5,258",,"12,816",,,,
Total:,,,,57,"3,664",,,184,,"3,710",,"5,258",,"12,816",,,,
,,,,,,,,,,,,,,,,,,
Legislative District 29,,,,,,,,,,,,,,,,,,
Maricopa,,,,33,"4,072",,,118,,"1,722",,"5,013",,"10,925",,,,
Total:,,,,33,"4,072",,,118,,"1,722",,"5,013",,"10,925",,,,
,,,,,,,,,,,,,,,,,,
Legislative District 30,,,,,,,,,,,,,,,,,,
Maricopa,,,,29,"4,482",,,107,,"1,854",,"5,442",,"11,885",,,,
Total:,,,,29,"4,482",,,107,,"1,854",,"5,442",,"11,885",,,,
,,,,,,,,,,,,,,,,,,
State Total:,,,,1489,"118,292",,,"4,709",,"115,200",,"182,024",,"420,225",,,,
