Report Date/Time: 02/01/2018 05:13 PM,,,,,STATE OF ARIZONA REGISTRATION REPORT,,,,,Page Number 1,
,,,,,"2018 January Voter Registration - January 1, 2018",,,,,,
,,,,,Compiled and Issued by the Arizona Secretary of State,,,,,,
,,,,,ACTIVE,,,,,,
,County,Precincts,Date/Period,Democratic,,Green,Libertarian,Republican,Other,TOTAL,
,Apache,45,Jul-17,"28,706",,55,157,"8,742","12,588","50,248",
,Apache,45,Oct-17,"28,787",,55,152,"8,803","12,673","50,470",
,Apache,44,Jan-18,"28,783",,55,151,"8,796","12,725","50,510",
,Cochise,49,Jul-17,"19,687",,144,566,"28,276","25,240","73,913",
,Cochise,49,Oct-17,"19,740",,142,565,"28,460","25,466","74,373",
,Cochise,49,Jan-18,"19,077",,131,551,"27,490","23,913","71,162",
,Coconino,71,Jul-17,"32,547",,305,870,"20,975","27,395","82,092",
,Coconino,71,Oct-17,"32,536",,305,853,"20,985","27,562","82,241",
,Coconino,71,Jan-18,"32,688",,303,855,"21,148","27,883","82,877",
,Gila,39,Jul-17,"9,128",,33,185,"12,603","8,299","30,248",
,Gila,39,Oct-17,"9,131",,32,182,"12,778","8,431","30,554",
,Gila,39,Jan-18,"9,133",,32,183,"12,903","8,516","30,767",
,Graham,22,Jul-17,"5,535",,14,83,"8,300","4,436","18,368",
,Graham,22,Oct-17,"5,506",,14,81,"8,341","4,472","18,414",
,Graham,22,Jan-18,"5,515",,13,79,"8,403","4,540","18,550",
,Greenlee,8,Jul-17,"1,989",,3,33,"1,384","1,317","4,726",
,Greenlee,8,Oct-17,"1,987",,3,33,"1,400","1,336","4,759",
,Greenlee,8,Jan-18,"1,981",,3,35,"1,409","1,354","4,782",
,La Paz,11,Jul-17,"2,215",,13,35,"3,677","3,427","9,367",
,La Paz,11,Oct-17,"2,213",,13,38,"3,711","3,469","9,444",
,La Paz,11,Jan-18,"2,223",,14,38,"3,766","3,531","9,572",
,Maricopa,724,Jul-17,"630,235",,"3,897","21,085","782,806","771,006","2,209,029",
,Maricopa,724,Oct-17,"635,498",,"3,913","21,252","788,298","780,715","2,229,676",
,Maricopa,738,Jan-18,"629,647",,"3,853","20,955","785,290","769,039","2,208,784",
,Mohave,24,Jul-17,"21,083",,160,768,"53,330","45,591","120,932",
,Mohave,24,Oct-17,"20,966",,159,755,"53,776","45,619","121,275",
,Mohave,24,Jan-18,"20,481",,155,740,"53,458","44,419","119,253",
,Navajo,14,Jul-17,"25,943",,75,438,"21,680","18,138","66,274",
,Navajo,14,Oct-17,"26,052",,74,446,"21,939","18,376","66,887",
,Navajo,14,Jan-18,"25,320",,72,421,"21,185","17,706","64,704",
,Pima,248,Jul-17,"203,784",,"1,694","4,376","162,284","164,810","536,948",
,Pima,248,Oct-17,"200,939",,"1,657","4,266","160,932","162,861","530,655",
,Pima,248,Jan-18,"197,911",,"1,605","4,158","158,126","160,239","522,039",
,Pinal,102,Jul-17,"51,828",,284,"1,539","67,401","73,415","194,467",
,Pinal,102,Oct-17,"52,342",,286,"1,553","68,473","74,697","197,351",
,Pinal,102,Jan-18,"52,806",,287,"1,591","69,234","75,802","199,720",
,Santa Cruz,24,Jul-17,"13,638",,46,156,"4,308","8,668","26,816",
,Santa Cruz,24,Oct-17,"13,722",,46,152,"4,332","8,819","27,071",
,Santa Cruz,24,Jan-18,"13,801",,46,157,"4,362","8,912","27,278",
,Yavapai,45,Jul-17,"28,642",,313,"1,107","63,255","46,093","139,410",
,Yavapai,45,Oct-17,"27,852",,308,"1,053","62,080","44,985","136,278",
,Yavapai,45,Jan-18,"28,062",,305,"1,078","62,866","45,592","137,903",
,Yuma,44,Jul-17,"29,967",,73,553,"25,133","32,109","87,835",
,Yuma,44,Oct-17,"29,404",,66,560,"24,440","31,398","85,868",
,Yuma,44,Jan-18,"29,319",,64,562,"24,553","31,692","86,190",
,TOTALS:,"1,470",Jul-17,"1,104,927",,"7,109","31,951","1,264,154","1,242,532","3,650,673",
,,"1,470",Oct-17,"1,106,675",,"7,073","31,941","1,268,748","1,250,879","3,665,316",
,,"1,483",Jan-18,"1,096,747",,"6,938","31,554","1,262,989","1,235,863","3,634,091",
,PERCENTAGES:,,Jul-17,30.27,,0.19,0.88,34.63,34.04,,
,,,Oct-17,30.19,,0.19,0.87,34.61,34.13,,
,,,Jan-18,30.18,,0.19,0.87,34.75,34.01,,
Report Date/Time: 02/01/2018 05:13 PM,,,,,,STATE OF ARIZONA REGISTRATION REPORT,,,,,Page Number 2
,,,,,,"2018 January Voter Registration - January 1, 2018",,,,,
,,,,,,Compiled and Issued by the Arizona Secretary of State,,,,,
,,,,,,ACTIVE,,,,,
,Congressional,,,Precincts,Democratic,,Green,Libertarian,Republican,Other,TOTAL
,,Congressional District 1,,,,,,,,,
,,,Apache,44,"28,783",,55,151,"8,796","12,725","50,510"
,,,Coconino,71,"32,688",,303,855,"21,148","27,883","82,877"
,,,Gila,22,"5,964",,11,51,"2,970","3,519","12,515"
,,,Graham,22,"5,515",,13,79,"8,403","4,540","18,550"
,,,Greenlee,8,"1,981",,3,35,"1,409","1,354","4,782"
,,,Maricopa,2,110,,0,3,14,96,223
,,,Mohave,2,275,,0,2,117,386,780
,,,Navajo,14,"25,320",,72,421,"21,185","17,706","64,704"
,,,Pima,26,"17,466",,91,423,"27,688","19,650","65,318"
,,,Pinal,60,"33,224",,150,749,"33,341","39,732","107,196"
,,,Yavapai,7,"5,300",,61,155,"6,748","7,219","19,483"
,,,TOTALS,278,"156,626",,759,"2,924","131,819","134,810","426,938"
,,Congressional District 2,,,,,,,,,
,,,Cochise,49,"19,077",,131,551,"27,490","23,913","71,162"
,,,Pima,145,"115,572",,983,"2,695","106,362","98,013","323,625"
,,,TOTALS,194,"134,649",,"1,114","3,246","133,852","121,926","394,787"
,,Congressional District 3,,,,,,,,,
,,,Maricopa,46,"39,136",,158,941,"27,691","42,994","110,920"
,,,Pima,77,"64,873",,531,"1,040","24,076","42,576","133,096"
,,,Pinal,1,156,,0,0,11,85,252
,,,Santa Cruz,24,"13,801",,46,157,"4,362","8,912","27,278"
,,,Yuma,29,"22,226",,48,323,"10,696","19,947","53,240"
,,,TOTALS,177,"140,192",,783,"2,461","66,836","114,514","324,786"
,,Congressional District 4,,,,,,,,,
,,,Gila,17,"3,169",,21,132,"9,933","4,997","18,252"
,,,La Paz,11,"2,223",,14,38,"3,766","3,531","9,572"
,,,Maricopa,16,"5,545",,35,243,"13,619","9,737","29,179"
,,,Mohave,22,"20,206",,155,738,"53,341","44,033","118,473"
,,,Pinal,41,"19,426",,137,842,"35,882","35,985","92,272"
