STATE OF ARIZONA REGISTRATION REPORT,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"2019 January Voter Registration - January 01, 2019",,,,,,,,,,,,,,,,
Compiled and Issued by the Arizona Secretary of State,,,,,,,,,,,,,,,,
Active,,,,,,,,,,,,,,,,
County,Precincts,,Date/Period,,,Democratic,,,Green,Libertarian,Republican,,Other,,Total,
La Paz,11,,P.E. 2018,,,487,,,7,10,606,,908,,"2,018",
,11,,G.E. 2018,,,470,,,7,10,590,,889,,"1,966",
,11,,Jan-19,,,451,,,7,10,578,,878,,"1,924",
,,,,,,,,,,,,,,,,
Maricopa,743,,P.E. 2018,,,"71,157",,,641,"3,255","67,365",,"127,536",,"269,954",
,743,,G.E. 2018,,,"78,899",,,719,"3,745","81,016",,"138,307",,"302,686",
,743,,Jan-19,,,"74,434",,,693,"3,469","74,201",,"131,192",,"283,989",
,,,,,,,,,,,,,,,,
Mohave,24,,P.E. 2018,,,"6,155",,,46,210,"9,280",,"15,303",,"30,994",
,24,,G.E. 2018,,,"6,723",,,46,254,"10,798",,"17,781",,"35,602",
,24,,Jan-19,,,"6,661",,,49,248,"10,610",,"17,206",,"34,774",
,,,,,,,,,,,,,,,,
Navajo,14,,P.E. 2018,,,"3,172",,,19,86,"3,290",,"3,731",,"10,298",
,14,,G.E. 2018,,,"3,281",,,18,98,"3,415",,"3,912",,"10,724",
,14,,Jan-19,,,"3,079",,,18,94,"3,270",,"3,795",,"10,256",
,,,,,,,,,,,,,,,,
Pima,248,,P.E. 2018,,,"31,555",,,493,"1,085","24,491",,"41,781",,"99,405",
,249,,G.E. 2018,,,"26,618",,,421,961,"21,562",,"37,768",,"87,330",
,249,,Jan-19,,,"25,699",,,398,931,"20,670",,"36,118",,"83,816",
,,,,,,,,,,,,,,,,
Pinal,102,,P.E. 2018,,,"6,150",,,38,234,"6,936",,"12,561",,"25,919",
,102,,G.E. 2018,,,"5,549",,,36,209,"6,196",,"11,753",,"23,743",
,102,,Jan-19,,,"5,123",,,34,194,"5,696",,"11,180",,"22,227",
,,,,,,,,,,,,,,,,
Santa Cruz,24,,P.E. 2018,,,"1,117",,,3,17,383,,"1,120",,"2,640",
,24,,G.E. 2018,,,"1,059",,,3,15,363,,"1,093",,"2,533",
,24,,Jan-19,,,"1,008",,,2,15,337,,"1,050",,"2,412",
,,,,,,,,,,,,,,,,
Yavapai,45,,P.E. 2018,,,"3,778",,,80,253,"7,317",,"9,932",,"21,360",
,45,,G.E. 2018,,,"3,743",,,79,256,"7,399",,"9,951",,"21,428",
,45,,Jan-19,,,"3,248",,,76,223,"6,290",,"9,075",,"18,912",
,,,,,,,,,,,,,,,,
Yuma,44,,P.E. 2018,,,"6,973",,,29,240,"6,977",,"12,632",,"26,851",
,44,,G.E. 2018,,,"6,957",,,28,230,"7,217",,"12,197",,"26,629",
,44,,Jan-19,,,"6,518",,,27,221,"6,475",,"11,800",,"25,041",
,,,,,,,,,,,,,,,,
Totals:,"1,488",,P.E. 2018,,,"145,394",,,"1,518","5,832","140,094",,"247,445",,"540,283",
,"1,489",,G.E. 2018,,,"147,036",,,"1,501","6,208","151,612",,"254,218",,"560,575",
,"1,489",,Jan-19,,,"137,852",,,"1,428","5,780","139,177",,"240,561",,"524,798",
,,,,,,,,,,,,,,,,
Percentages:,,,P.E. 2018,,,26.91,,,0.28,1.08,25.93,,45.8,,,
,,,G.E. 2018,,,26.23,,,0.27,1.11,27.05,,45.35,,,
,,,Jan-19,,,26.27,,,0.27,1.1,26.52,,45.84,,,
,,,,,,,,,,,,,,,,
Inactive,,,,,,,,,,,,,,,,
District,,,,Precincts,Democratic,,,Green,,Libertarian,,Republican,,Other,,Total
,,,,,,,,,,,,,,,,
Congressional District 1,,,,,,,,,,,,,,,,
Apache,,,,44,"2,054",,,6,,22,,866,,"1,440",,"4,388"
Coconino,,,,71,"4,385",,,72,,182,,"3,021",,"7,120",,"14,780"
Gila,,,,22,661,,,2,,5,,319,,702,,"1,689"
Graham,,,,22,774,,,4,,17,,"1,060",,"1,232",,"3,087"
Greenlee,,,,8,90,,,0,,2,,114,,152,,358
Maricopa,,,,3,35,,,0,,1,,12,,38,,86
Mohave,,,,2,24,,,0,,0,,15,,46,,85
Navajo,,,,14,"3,079",,,18,,94,,"3,270",,"3,795",,"10,256"
