STATE OF ARIZONA REGISTRATION REPORT,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"2019 January Voter Registration - January 01, 2019",,,,,,,,,,,,,,,,
Compiled and Issued by the Arizona Secretary of State,,,,,,,,,,,,,,,,
Active,,,,,,,,,,,,,,,,
County,Precincts,,Date/Period,,,Democratic,,,Green,Libertarian,Republican,,Other,,Total,
Santa Cruz,,,,24,"1,008",,,2,,15,,337,,"1,050",,"2,412"
Yuma,,,,29,"4,294",,,16,,132,,"2,899",,"6,789",,"14,130"
Total:,,,,178,"18,754",,,173,,556,,"10,828",,"26,676",,"56,987"
,,,,,,,,,,,,,,,,
Congressional District 4,,,,,,,,,,,,,,,,
Gila,,,,17,327,,,4,,17,,"1,020",,773,,"2,141"
La Paz,,,,11,451,,,7,,10,,578,,878,,"1,924"
Maricopa,,,,18,430,,,4,,22,,971,,"1,056",,"2,483"
Mohave,,,,22,"6,637",,,49,,248,,"10,595",,"17,160",,"34,689"
Pinal,,,,41,"1,999",,,16,,120,,"3,048",,"5,575",,"10,758"
Yavapai,,,,38,"2,678",,,61,,194,,"5,657",,"7,779",,"16,369"
Yuma,,,,15,"2,224",,,11,,89,,"3,576",,"5,011",,"10,911"
Total:,,,,162,"14,746",,,152,,700,,"25,445",,"38,232",,"79,275"
,,,,,,,,,,,,,,,,
Congressional District 5,,,,,,,,,,,,,,,,
Maricopa,,,,128,"9,688",,,118,,570,,"17,824",,"21,599",,"49,799"
Total:,,,,128,"9,688",,,118,,570,,"17,824",,"21,599",,"49,799"
,,,,,,,,,,,,,,,,
Congressional District 6,,,,,,,,,,,,,,,,
Maricopa,,,,157,"10,593",,,131,,607,,"14,937",,"20,721",,"46,989"
Total:,,,,157,"10,593",,,131,,607,,"14,937",,"20,721",,"46,989"
,,,,,,,,,,,,,,,,
Congressional District 7,,,,,,,,,,,,,,,,
Maricopa,,,,107,"18,412",,,83,,502,,"6,313",,"24,089",,"49,399"
Total:,,,,107,"18,412",,,83,,502,,"6,313",,"24,089",,"49,399"
,,,,,,,,,,,,,,,,
Congressional District 8,,,,,,,,,,,,,,,,
Maricopa,,,,143,"10,912",,,108,,518,,"15,713",,"23,687",,"50,938"
Total:,,,,143,"10,912",,,108,,518,,"15,713",,"23,687",,"50,938"
,,,,,,,,,,,,,,,,
Congressional District 9,,,,,,,,,,,,,,,,
Maricopa,,,,140,"19,029",,,219,,"1,054",,"14,607",,"30,547",,"65,456"
Total:,,,,140,"19,029",,,219,,"1,054",,"14,607",,"30,547",,"65,456"
,,,,,,,,,,,,,,,,
Legislative District 1,,,,,,,,,,,,,,,,
Maricopa,,,,16,708,,,10,,56,,"1,697",,"1,881",,"4,352"
Yavapai,,,,35,"2,164",,,49,,167,,"4,914",,"6,381",,"13,675"
Total:,,,,51,"2,872",,,59,,223,,"6,611",,"8,262",,"18,027"
,,,,,,,,,,,,,,,,
Legislative District 2,,,,,,,,,,,,,,,,
Pima,,,,33,"3,517",,,31,,90,,"2,623",,"4,910",,"11,171"
Santa Cruz,,,,24,"1,008",,,2,,15,,337,,"1,050",,"2,412"
Total:,,,,57,"4,525",,,33,,105,,"2,960",,"5,960",,"13,583"
,,,,,,,,,,,,,,,,
Legislative District 3,,,,,,,,,,,,,,,,
Pima,,,,41,"6,096",,,131,,181,,"2,797",,"6,983",,"16,188"
Total:,,,,41,"6,096",,,131,,181,,"2,797",,"6,983",,"16,188"
,,,,,,,,,,,,,,,,
Legislative District 4,,,,,,,,,,,,,,,,
Maricopa,,,,18,"1,229",,,10,,47,,"1,347",,"2,848",,"5,481"
Pima,,,,17,696,,,7,,7,,307,,786,,"1,803"
Pinal,,,,1,11,,,0,,0,,2,,4,,17
Yuma,,,,23,"3,741",,,9,,99,,"2,204",,"5,612",,"11,665"
Total:,,,,59,"5,677",,,26,,153,,"3,860",,"9,250",,"18,966"
,,,,,,,,,,,,,,,,
Legislative District 5,,,,,,,,,,,,,,,,
La Paz,,,,11,451,,,7,,10,,578,,878,,"1,924"
Mohave,,,,22,"6,637",,,49,,248,,"10,595",,"17,160",,"34,689"
Total:,,,,33,"7,088",,,56,,258,,"11,173",,"18,038",,"36,613"
,,,,,,,,,,,,,,,,
Legislative District 6,,,,,,,,,,,,,,,,
Coconino,,,,45,"3,606",,,70,,167,,"2,583",,"6,205",,"12,631"
Gila,,,,18,329,,,4,,17,,"1,029",,779,,"2,158"
Navajo,,,,5,466,,,3,,28,,"1,268",,"1,018",,"2,783"
Yavapai,,,,10,"1,084",,,27,,56,,"1,376",,"2,694",,"5,237"
Total:,,,,78,"5,485",,,104,,268,,"6,256",,"10,696",,"22,809"
,,,,,,,,,,,,,,,,
Legislative District 7,,,,,,,,,,,,,,,,
Apache,,,,44,"2,054",,,6,,22,,866,,"1,440",,"4,388"
Coconino,,,,26,779,,,2,,15,,438,,915,,"2,149"
Gila,,,,3,361,,,0,,1,,42,,249,,653
Graham,,,,2,261,,,2,,0,,42,,193,,498
Mohave,,,,2,24,,,0,,0,,15,,46,,85
Navajo,,,,9,"2,613",,,15,,66,,"2,002",,"2,777",,"7,473"
Pinal,,,,1,0,,,0,,0,,0,,0,,0
Total:,,,,87,"6,092",,,25,,104,,"3,405",,"5,620",,"15,246"
,,,,,,,,,,,,,,,,
Legislative District 8,,,,,,,,,,,,,,,,
Gila,,,,18,298,,,2,,4,,268,,447,,"1,019"
Pinal,,,,51,"2,720",,,15,,84,,"2,554",,"5,653",,"11,026"
Total:,,,,69,"3,018",,,17,,88,,"2,822",,"6,100",,"12,045"
,,,,,,,,,,,,,,,,
Legislative District 9,,,,,,,,,,,,,,,,
Pima,,,,57,"6,401",,,99,,254,,"4,892",,"8,830",,"20,476"
Total:,,,,57,"6,401",,,99,,254,,"4,892",,"8,830",,"20,476"
,,,,,,,,,,,,,,,,
Legislative District 10,,,,,,,,,,,,,,,,
Pima,,,,49,"6,109",,,96,,236,,"5,077",,"9,231",,"20,749"
Total:,,,,49,"6,109",,,96,,236,,"5,077",,"9,231",,"20,749"
,,,,,,,,,,,,,,,,
Legislative District 11,,,,,,,,,,,,,,,,
Pima,,,,34,"2,145",,,30,,111,,"3,606",,"3,844",,"9,736"
Pinal,,,,27,"1,423",,,11,,53,,"1,564",,"2,853",,"5,904"
Total:,,,,61,"3,568",,,41,,164,,"5,170",,"6,697",,"15,640"
,,,,,,,,,,,,,,,,
Legislative District 12,,,,,,,,,,,,,,,,
Maricopa,,,,37,"3,309",,,45,,224,,"7,392",,"8,375",,"19,345"
Pinal,,,,1,24,,,1,,3,,73,,62,,163
Total:,,,,38,"3,333",,,46,,227,,"7,465",,"8,437",,"19,508"
,,,,,,,,,,,,,,,,
Legislative District 13,,,,,,,,,,,,,,,,
Maricopa,,,,29,"2,087",,,19,,97,,"3,167",,"4,628",,"9,998"
Yuma,,,,21,"2,777",,,18,,122,,"4,271",,"6,188",,"13,376"
Total:,,,,50,"4,864",,,37,,219,,"7,438",,"10,816",,"23,374"
,,,,,,,,,,,,,,,,
Legislative District 14,,,,,,,,,,,,,,,,
Cochise,,,,49,"3,340",,,36,,130,,"4,650",,"6,848",,"15,004"
Graham,,,,20,513,,,2,,17,,"1,018",,"1,039",,"2,589"
Greenlee,,,,8,90,,,0,,2,,114,,152,,358
Pima,,,,18,735,,,4,,52,,"1,368",,"1,534",,"3,693"
Total:,,,,95,"4,678",,,42,,201,,"7,150",,"9,573",,"21,644"
,,,,,,,,,,,,,,,,
Legislative District 15,,,,,,,,,,,,,,,,
Maricopa,,,,42,"2,842",,,34,,176,,"4,972",,"6,223",,"14,247"
Total:,,,,42,"2,842",,,34,,176,,"4,972",,"6,223",,"14,247"
,,,,,,,,,,,,,,,,
Legislative District 16,,,,,,,,,,,,,,,,
Maricopa,,,,25,"1,667",,,12,,105,,"2,937",,"3,640",,"8,361"
Pinal,,,,21,945,,,7,,54,,"1,503",,"2,608",,"5,117"
Total:,,,,46,"2,612",,,19,,159,,"4,440",,"6,248",,"13,478"
,,,,,,,,,,,,,,,,
Legislative District 17,,,,,,,,,,,,,,,,
Maricopa,,,,40,"3,391",,,33,,176,,"4,514",,"6,831",,"14,945"
Total:,,,,40,"3,391",,,33,,176,,"4,514",,"6,831",,"14,945"
,,,,,,,,,,,,,,,,
Legislative District 18,,,,,,,,,,,,,,,,
Maricopa,,,,41,"5,265",,,47,,290,,"5,016",,"8,920",,"19,538"
Total:,,,,41,"5,265",,,47,,290,,"5,016",,"8,920",,"19,538"
,,,,,,,,,,,,,,,,
Legislative District 19,,,,,,,,,,,,,,,,
Maricopa,,,,29,"5,555",,,26,,179,,"2,506",,"8,427",,"16,693"
Total:,,,,29,"5,555",,,26,,179,,"2,506",,"8,427",,"16,693"
,,,,,,,,,,,,,,,,
Legislative District 20,,,,,,,,,,,,,,,,
Maricopa,,,,47,"3,633",,,44,,200,,"3,667",,"6,905",,"14,449"
Total:,,,,47,"3,633",,,44,,200,,"3,667",,"6,905",,"14,449"
,,,,,,,,,,,,,,,,
Legislative District 21,,,,,,,,,,,,,,,,
Maricopa,,,,42,"3,585",,,31,,151,,"4,258",,"6,834",,"14,859"
Total:,,,,42,"3,585",,,31,,151,,"4,258",,"6,834",,"14,859"
,,,,,,,,,,,,,,,,
Legislative District 22,,,,,,,,,,,,,,,,
Maricopa,,,,48,"2,847",,,26,,130,,"5,376",,"7,011",,"15,390"
Total:,,,,48,"2,847",,,26,,130,,"5,376",,"7,011",,"15,390"
,,,,,,,,,,,,,,,,
Legislative District 23,,,,,,,,,,,,,,,,
Maricopa,,,,57,"2,741",,,40,,181,,"5,187",,"5,724",,"13,873"
Total:,,,,57,"2,741",,,40,,181,,"5,187",,"5,724",,"13,873"
,,,,,,,,,,,,,,,,
Legislative District 24,,,,,,,,,,,,,,,,
Maricopa,,,,40,"6,838",,,66,,266,,"3,310",,"8,836",,"19,316"
Total:,,,,40,"6,838",,,66,,266,,"3,310",,"8,836",,"19,316"
,,,,,,,,,,,,,,,,
Legislative District 25,,,,,,,,,,,,,,,,
Maricopa,,,,42,"2,826",,,47,,144,,"4,323",,"5,474",,"12,814"
Total:,,,,42,"2,826",,,47,,144,,"4,323",,"5,474",,"12,814"
,,,,,,,,,,,,,,,,
Legislative District 26,,,,,,,,,,,,,,,,
Maricopa,,,,34,"6,948",,,90,,431,,"4,469",,"11,597",,"23,535"
Total:,,,,34,"6,948",,,90,,431,,"4,469",,"11,597",,"23,535"
,,,,,,,,,,,,,,,,
Legislative District 27,,,,,,,,,,,,,,,,
Maricopa,,,,37,"6,069",,,25,,128,,"1,958",,"7,620",,"15,800"
Total:,,,,37,"6,069",,,25,,128,,"1,958",,"7,620",,"15,800"
,,,,,,,,,,,,,,,,
Legislative District 28,,,,,,,,,,,,,,,,
Maricopa,,,,57,"3,828",,,41,,208,,"4,025",,"6,257",,"14,359"
Total:,,,,57,"3,828",,,41,,208,,"4,025",,"6,257",,"14,359"
,,,,,,,,,,,,,,,,
Legislative District 29,,,,,,,,,,,,,,,,
Maricopa,,,,33,"4,409",,,23,,152,,"2,024",,"6,389",,"12,997"
Total:,,,,33,"4,409",,,23,,152,,"2,024",,"6,389",,"12,997"
,,,,,,,,,,,,,,,,
Legislative District 30,,,,,,,,,,,,,,,,
Maricopa,,,,29,"4,657",,,24,,128,,"2,056",,"6,772",,"13,637"
Total:,,,,29,"4,657",,,24,,128,,"2,056",,"6,772",,"13,637"
,,,,,,,,,,,,,,,,
State Total:,,,,1489,"137,852",,,"1,428",,"5,780",,"139,177",,"240,561",,"524,798"
